fdc_id,description,food_category_id
320193,"MILK, 2% ",1
320194,"MILK, 2% ",1
320195,"MILK, 2% ",1
320196,"MILK, 2% (WAVE 22E)",1
320197,"MILK, 2% (WAVE 22E)",1
320198,"MILK, 2% (WAVE 22E)",1
320199,"MILK, 2% ",1
320200,"MILK, 2% ",1
320201,"MILK, 2% ",1
320202,"MILK, 2% (WAVE 22E)",1
320203,"MILK, 2% (WAVE 22E)",1
320204,"MILK, 2% (WAVE 22E)",1
320205,"MILK, 2% ",1
320206,"MILK, 2% ",1
320207,"MILK, 2% ",1
320208,"MILK, 2% (WAVE 22E)",1
320209,"MILK, 2% (WAVE 22E)",1
320210,"MILK, 2% (WAVE 22E)",1
320211,"MILK, 2% (WAVE 22E)",1
320212,"MILK, 2% ",1
320213,"MILK, 2% ",1
320214,"MILK, 2% ",1
320215,"MILK, 2% ",1
320216,"MILK, 2% ",1
320217,"MILK, 2% ",1
320218,"MILK, 2% ",1
320219,"MILK, 2% ",1
320220,"MILK, 2% ",1
320221,"MILK, 2% ",1
320222,"Milk, 2%",1
320223,"Milk, 2%",1
320224,"Milk, 2%",1
320225,"Milk, 2%",1
320226,"Milk, 2%",1
320227,"Milk, 2%",1
320228,"MILK, 2% (WAVE 22E)",1
320229,"MILK, 2% (WAVE 22E)",1
320230,"MILK, 2% (WAVE 22E)",1
320231,"MILK, 2% (WAVE 22E)",1
320232,"MILK, 2% ",1
320233,"MILK, 2% ",1
320234,"MILK, 2% ",1
320235,"MILK, 2% ",1
320236,"MILK, 2% ",1
320237,"MILK, 2% ",1
320238,"MILK, 2% ",1
320239,"MILK, 2% ",1
320240,"MILK, 2% ",1
320241,"MILK, 2% ",1
320242,"MILK, 2% ",1
320243,"MILK, 2% ",1
320244,"MILK, 2% ",1
320245,"Milk, 2%",1
320246,"Milk, 2%",1
320247,"Milk, 2%",1
320248,"Milk, 2%",1
320249,"Milk, 2%",1
320250,"Milk, 2%",1
320251,"MILK, 2% (WAVE 22E)",1
320252,"MILK, 2% (WAVE 22E)",1
320253,"MILK, 2% (WAVE 22E)",1
320254,"MILK, 2% (WAVE 22E)",1
320255,"MILK, 2% ",1
320256,"MILK, 2% ",1
320257,"MILK, 2% ",1
320258,"MILK, 2% ",1
320259,"MILK, 2% ",1
320260,"MILK, 2% ",1
320261,"MILK, 2% ",1
320262,"MILK, 2% ",1
320263,"MILK, 2% ",1
320264,"MILK, 2% ",1
320265,"MILK, 2% ",1
320266,"MILK, 2% ",1
320267,"MILK, 2% ",1
320268,"Milk, 2%",1
320269,"Milk, 2%",1
320270,"Milk, 2%",1
320271,"Milk, 2%",1
320272,"Milk, 2%",1
320273,"MILK, 2% (WAVE 22E)",1
320274,"MILK, 2% (WAVE 22E)",1
320275,"MILK, 2% (WAVE 22E)",1
320276,"MILK, 2% (WAVE 22E)",1
320277,"MILK, 2% ",1
320278,"MILK, 2% ",1
320279,"MILK, 2% ",1
320280,"MILK, 2% ",1
320281,"MILK, 2% ",1
320282,"MILK, 2% ",1
320283,"MILK, 2% ",1
320284,"MILK, 2% ",1
320285,"MILK, 2% ",1
320286,"MILK, 2% ",1
320287,"MILK, 2% ",1
320288,"MILK, 2% ",1
320289,"MILK, 2% ",1
320290,"Milk, 2%",1
320291,"Milk, 2%",1
320292,"Milk, 2%",1
320293,"Milk, 2%",1
320294,"Milk, 2%",1
320295,"Milk, 2%",1
320296,"MILK, 2% (WAVE 22E)",1
320297,"MILK, 2% (WAVE 22E)",1
320298,"MILK, 2% (WAVE 22E)",1
320299,"MILK, 2% (WAVE 22E)",1
320300,"MILK, 2% ",1
320301,"MILK, 2% ",1
320302,"MILK, 2% ",1
320303,"MILK, 2% ",1
320304,"MILK, 2% ",1
320305,"MILK, 2% ",1
320306,"MILK, 2% (WAVE 22E)",1
320307,"MILK, 2% (WAVE 22E)",1
320308,"MILK, 2% (WAVE 22E)",1
320309,"MILK, 2% ",1
320310,"MILK, 2% ",1
320311,"MILK, 2% ",1
320312,"MILK, 2% (WAVE 22E)",1
320313,"MILK, 2% (WAVE 22E)",1
320314,"MILK, 2% (WAVE 22E)",1
320315,"MILK, 2% ",1
320316,"MILK, 2% ",1
320317,"MILK, 2% ",1
320318,"MILK, 2% ",1
320319,"MILK, 2% ",1
320320,"MILK, 2% ",1
320321,"MILK, 2% ",1
320322,"MILK, 2% ",1
320323,"MILK, 2% ",1
320324,"MILK, 2% ",1
320325,"Milk, 2%",1
320326,"Milk, 2%",1
320327,"Milk, 2%",1
320328,"Milk, 2%",1
320329,"Milk, 2%",1
320330,"MILK, 2% (WAVE 22E)",1
320331,"MILK, 2% (WAVE 22E)",1
320332,"MILK, 2% (WAVE 22E)",1
320333,"MILK, 2% (WAVE 22E)",1
320334,"MILK, 2% ",1
320335,"MILK, 2% ",1
320336,"MILK, 2% ",1
320337,"MILK, 2% ",1
320338,"MILK, 2% ",1
320339,"MILK, 2% ",1
320340,"MILK, 2% ",1
320341,"MILK, 2% ",1
320342,"MILK, 2% ",1
320343,"MILK, 2% ",1
320344,"Milk, 2%",1
320345,"Milk, 2%",1
320346,"Milk, 2%",1
320347,"Milk, 2%",1
320348,"Milk, 2%",1
320349,"Milk, 2%",1
320350,"MILK, 2% (WAVE 22E)",1
320351,"MILK, 2% (WAVE 22E)",1
320353,"Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",13
320354,"Beef, eye of round roast, raw (ER37-R-5)",13
320355,"Beef, eye of round steak, raw (ES36-R-5) ",13
320356,"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",13
320357,"Beef,  Eye of Round roast/steak, select, raw, comp13, lean (36BRERS/37BRERRS)",13
320358,"Beef, eye of round roast, raw (ER37-R-10)",13
320359,"Beef, eye of round roast, raw (ER37-R-11)",13
320360,"Beef, eye of round roast, raw (ER37-R-16)",13
320361,"Beef, eye of round roast, raw (ER37-R-17)",13
320362,"Beef, eye of round roast, raw (ER37-R-18)",13
320363,"Beef, eye of round roast, raw (ER37-R-22)",13
320364,"Beef, eye of round roast, raw (ER37-R-23)",13
320365,"Beef, eye of round roast, raw (ER37-R-28)",13
320366,"Beef, eye of round roast, raw (ER37-R-29)",13
320367,"Beef, eye of round roast, raw (ER37-R-35)",13
320368,"Beef, eye of round roast, raw (ER37-R-36)",13
320369,"Beef, eye of round steak, raw (ES36-R-10) ",13
320370,"Beef, eye of round steak, raw (ES36-R-11) ",13
320371,"Beef, eye of round steak, raw (ES36-R-16) ",13
320372,"Beef, eye of round steak, raw (ES36-R-17) ",13
320373,"Beef, eye of round steak, raw (ES36-R-18) ",13
320374,"Beef, eye of round steak, raw (ES36-R-22) ",13
